request_idx,bandit_reward_mean,bandit_reward_std,oracle_reward
43,0.866979315187434,3.3306690738754696e-16,0.981105488455007
44,0.871803655768319,3.3306690738754696e-16,0.9814542928293205
45,0.8764388065225026,3.3306690738754696e-16,0.9817894186007198
46,0.8808921866588751,3.3306690738754696e-16,0.9821114021850053
47,0.8851709244369586,3.3306690738754696e-16,0.9824207589620639
48,0.8892818685766857,3.3306690738754696e-16,0.9827179841008066
49,0.8932315992207372,3.3306690738754696e-16,0.9830035533517554
50,0.8970264384669829,3.3306690738754696e-16,0.9832779238085493
51,0.8775352055859248,1.6653345369377348e-16,0.9760905542474297
52,0.8627299034060846,0.0,0.9766360227083148
53,0.8677208875862381,3.3306690738754696e-16,0.9771601002491652
54,0.8725161468965817,3.3306690738754696e-16,0.9776636257295901
55,0.877123356822206,3.3306690738754696e-16,0.9781474051127435
56,0.8584126369468253,1.6653345369377348e-16,0.978612212755381
57,0.8635729256940087,3.3306690738754696e-16,0.9790587926473269
58,0.8685308501765966,3.3306690738754696e-16,0.9794878596023336
59,0.8732943462481026,3.3306690738754696e-16,0.9799001004022422
60,0.8778710385520987,3.3306690738754696e-16,0.980296174896272
61,0.8822682527265262,3.3306690738754696e-16,0.9806767170572025
62,0.8864930271294076,3.3306690738754696e-16,0.9810423359961358
63,0.890552124104725,3.3306690738754696e-16,0.9813936169374639
64,0.8944520408065004,3.3306690738754696e-16,0.9817311221556025
65,0.8981990195984024,3.3306690738754696e-16,0.9820553918749907
66,0.901799058045524,3.3306690738754696e-16,0.982366945134795
67,0.905257918514327,3.3306690738754696e-16,0.9826662806197051
68,0.9085811373961181,3.3306690738754696e-16,0.982953877458148
69,0.9117740339688194,3.3306690738754696e-16,0.983230195989201
70,0.9148417189112187,3.3306690738754696e-16,0.9834956784994284
71,0.9177891024833278,3.3306690738754696e-16,0.9837507499308235
72,0.9206209023859424,3.3306690738754696e-16,0.9839958185609873
73,0.9233416513119839,3.3306690738754696e-16,0.9842312766566349
74,0.92595570420171,3.3306690738754696e-16,0.9844575011014728
75,0.9284672452134077,3.3306690738754696e-16,0.9846748539994543
76,0.9308802944207251,3.3306690738754696e-16,0.9848836832543777
77,0.9331987142473633,3.3306690738754696e-16,0.9850843231267551
78,0.9122889607474668,1.6653345369377348e-16,0.9778261143766863
79,0.9153364524828603,3.3306690738754696e-16,0.978303521656032
80,0.9182644347384344,3.3306690738754696e-16,0.9787622070812856
81,0.9210775941604566,3.3306690738754696e-16,0.9792029048428038
82,0.9237804336051446,3.3306690738754696e-16,0.9796263203391645
83,0.9263772793461194,3.3306690738754696e-16,0.9800331313062561
84,0.9288722879992127,3.3306690738754696e-16,0.9804239889020893
85,0.9312694531757142,3.3306690738754696e-16,0.9807995187490662
86,0.8951412393256862,5.204170427930421e-18,0.9811603219353774
87,0.898861190724679,3.3306690738754696e-16,0.9815069759771273
88,0.9024352616766523,3.3306690738754696e-16,0.9818400357427302
89,0.9058691729834503,3.3306690738754696e-16,0.9821600343410545
90,0.9091684211017463,3.3306690738754696e-16,0.9824674839747386
91,0.9123382869408936,3.3306690738754696e-16,0.982762876760043
92,0.8844034521588978,8.326672684688674e-17,0.9830466855145512
93,0.8885444932507058,3.3306690738754696e-16,0.9833193645139806
94,0.8925231405742076,3.3306690738754696e-16,0.9835813502193147
95,0.8653653703556112,8.326672684688674e-17,0.9838330619754201
96,0.8702530028906853,3.3306690738754696e-16,0.9840749026822664
97,0.8365175910126192,5.204170427930421e-18,0.9843072594398246
98,0.8425365090121244,3.3306690738754696e-16,0.9845305041676746
99,0.848319391011649,3.3306690738754696e-16,0.9847449942003149
100,0.8483852972464864,7.771561172376096e-16,0.9849510728591261
101,0.8539388150015261,3.3306690738754696e-16,0.9851490700019054
102,0.8592745477465643,3.3306690738754696e-16,0.9853393025508503
